Questions,Answer,,
Sports,"11th South Asian Games: Two students named Mr. Sun and Mr. Moon respectively, from the Department of TE won the Gold medals in the 11th South Asian Games in Karata Event. DIU family is really proud of these townie brothers who had brought this significant success for Bangladesh as well as for DIU.
 DIU Cricket Team: DIU team made us proud when they experienced a comprehensive victory in the Inter-University Champions Trophy by defeating ULAB!!
 34th National Athletics Championships: The vigorous athletes of Daffodil International University showed an outstanding performance in the 34th National Athletics Championships of Bangladesh, held in the year 2009. DIU achieved 3rd position in this national event with 4 gold and 3 bronze. The Gold Medal Winners of DIU were: Ms. Hazera Akhter (Shot Put), Mr. Enamul Haque (5000m), Ms. Hazera Akhter (Javelin Throw) & Ms. Sathi Parveen (High Jump). A total of 692 athletes -- 531 men and 161 women -- from 81 teams took part in the meet.",,
Online Teachers Evaluation,"In DIU, all the students evaluate their course teachers from anywhere from online. It is a compulsory process. Online evaluation ensures transparency of the evaluation. Teachers feel accountability to enhance their status so that they can get good marking from the students’ part. Ultimately, this process increases quality education. http://erp.daffodilvarsity.edu.bd",,
"Forum, Blog","Forum http://forum.daffodilvarsity.edu.bd & Blog http://blog.daffodilvarsity.edu.bd/ are two exquisite footings of DIU for sharing ideas, information & knowledge between teachers & students.",,
Campus TV,The university has introduced Campus TV http://campustv.ac/ to increase interaction and activities among its students and teachers.,,
Online Notice Board,"As a Digital University, DIU publishes all notices and announcements on Online Notice Board. As a result, all DIU students can get notices and announcements from any corner of the world and remain up to date.",,
DIU Medical Center,DIU established a Medical Center in the Campus for the health care of DIU students. DIU students are able to get free treatment from DIU Medical Center. DIU believes “good health is the foundation of progress.”,,
Fresher’s Welcome,DIU receives its future Leaders and Scholars with a warm and fresh welcome through Orientation program. DIU treats all students as its asset and from the first day at campus DIU ensures all their necessary things.,,
Guardian Communication,"For the betterment of the students, DIU communicates with the Guardians and informs them about their students, if needed.",,
Special counseling for weaker students,"If it is identified that few students are not getting marks up to satisfactory level, DIU faculty members support them, especially to improve their performance.",,
Religious Events,"DIU observes all religious programs and arranges various religious events (iftar party, Miladunnabi, Sarwaswati puja, X-mass, for example) in the campus. It develops a brotherhood among the students and teachers in the campus and outside the campus as well.",,
Digital Class Rooms,"As the first digital university in Bangladesh, DIU introduced digital class rooms for making the students familiar with modern technologies.",,
One stop services,To solve the problems of students and to make a friendly educational environment in campus DIU started one stop services. Where every student can get the solution of multiple problems from one booth.,,
Gymnasium,DIU has established a large gymnasium in the campus. The gymnasium is furnished with modern equipment. Students can take exercise here for their good health,,
Financial Aid & Scholarships,https://daffodilvarsity.edu.bd/scholarship/diu-scholarship,,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website 
 Officers: https://daffodilvarsity.edu.bd/administration
 
 Teachers: http://faculty.daffodilvarsity.edu.bd/",,
What is the process of teaching evaluation?,"Login to student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
How to check payment ledger from student portal?,Login to student portal and click “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
Where can I find information about insurance?,"Contact Mr. Md. Zubayarul Islam, Administrative Officer.Mobile: 01847140055",,
How can I login the google classroom?,First download the classroom apps from the google play store. Install the app to your mobile. Login by providing your g-mail ID and password.,,
what is the deadlines for applying at DIU ?,Pls follow the deadlines url (Click Here),,
What are the tuition fees of Daffodil International University for study,For local Students For International Students,,
How can I Change/ Add/Drop course after the registration?,"After the registration, you may be able to Change/Add/Drop any course within 7 days after the last date of the registration. Contact your batch coordinator.",,
How can I complete my course registration in the semester? (For existing students),"Collect your account clearance by paying the registration fees in the Accounts Section.Submit it (keep a photocopy) to the batch coordinator in your department. He/she will complete your course registration as per the rule.After the completion, you have to check the student portal to confirm the completion of course registration.",,
How do I complete course registration in the semester? (For new Students)," Collect your account clearance by paying the registration fees/Admission fees in the Accounts Section. 2. Submit the filled up StudentInsurance Form (given during the admission) and the account clearanceto the Coordination Officer of the Department Office. 3. When the registration is done by the department Office, you have to check the student portal to confirm your registration.",,
What can I do to drop the semester? (before registration),"In case of specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
What can I do to drop my semester? (after registration)," Write an application (describing specific reason) to the Dean through Head of the Department within 2 weeks of the last date of registration. 2. If Head and Dean approve, then you need to submit the copy of the approval to the Registrar Office for final approval. 3. One week later you need to check the student portal and/or contact the department office to confirm the semester drop.",,
I am a student of previous syllabus. Shall I do my registration with previous course code or I will register with new course code?,Student of previous syllabus can do registration with previous syllabus with an application to the Head of the department.,,
What can I do for registration when the registration date is over?,Please follow the instructions given in the notice board and contact to the department office for further help.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
How to take extra courses in a semester?,Students may apply to the Dean through Head of the departmentdescribing the name and credits of courses to be taken.,,
How I can extend registration duration for more than six years?,Submit an application (describing the reason) to the Registrar through Head and Dean. A draft transcript need to be attached with the application.,,
How can I resolve result block?,Clear your previous dues 2.Contact with Registrar Office/Exam Office for resolving of blocked result.,,
What is the process of doing dual-major?,"If you want to do dual-major you need to write an application to the Head of the Department. 2. The co-ordination officer will provide guidelines for the student which s/he will have to follow. 3. In order to do dual-major a student needs to complete 1 elective course, 7 courses from the first major and 5 courses from the second major.",,
What is the fees of improvement exam?,The student has to pay 40% of the course fees to attend the mid-term improvement exam and 60% of the course fees for the finalexam improvement.,,
How can I get my admit card for Mid Term and Final Exams?,Pay your instalment (fees) and collect your exam clearance/admit card showing the money receipt from the Accounts Section. You need to preserve the exam clearance/admit card for sitting the exam.,,
How can I sit in the improvement exam?,Collect the Form of improvement exam from the department office and fill up the Form. 2.Pay required fees for improvement exam in the accounts section and get the clearance. 3. Then you submit the form to the department office. The department office will send the form to the relevant teacher.,,
How can I select a Supervisor for internship?,Contact your Head of the Department who will assign your supervisor for internship & thesis.,,
How can I get my semester results from website?,"Browse DIU website to find the option of ‘Virtual University’. Click &enter your ID in the Academic Result box.When you press enter, your results will be displayed.",,
How can I get the cumulative results (CGPA) of all the courses that I have completed?," To collect draft transcript only before completion of all courses, you need to pay Tk.50/- to Accounts Section. 2. Go to the exam section and fill out the application form for draft transcript. 3.Collect your transcript when it is ready.",,
I have two exams in same time slot. Can I attend the improvement of the missed exam without fee?,You can attend the improvement exam without fee in case of overlapping of exams.,,
Do I have to attend a minimum number of classes to attend the examinations?,Minimum of 60% of the classes you must attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get your degree certificate.,,
Is there any eligibility to attend the final Improvement Exam?,Students those who got “Grade B” or less may apply for improvement,,
"Transcript/certificate/concern letter, etc. related FAQ",,,
How I can take concern letter/ testimonial for job purpose?,Write an application to the Head of the Department (format given in the office/notice board) along with money receipt of the payment of tk 50. Please write your parents name in the application and in the back side of the money receipt.,,
How I get Internship letter?,You must complete all courses to start internship while maintaining at least CGPA of 2.50. 2. Collect internship form from the department office. Fill up the form and get the required signatures. 3. Pay fees and take Accounts clearance 4.Submit the form to department office together with clearance receipt.,,
When I will be allowed for provisional certificate?,"After the completion of all required credits for the degree, you will be allowed for provisional certificate until the subsequent convocation ceremony.",,
How can I withdraw academic transcripts/ certificate?,Collect form from DIU exam office and fill-up the form and submit to the exam section.,,
How can I get a recommendation letter?,"For Recommendation Letter,you have to pay TK. 50 to Accounts section. Write your father’s and mother’s name backside of the money receipt.Then submit an application to Head of the Department. Attach the money receipt along with the application. (submit the soft copy of the draft recommendation letter, if any)",,
How I will get a concern letter.,"For Concern Letter, you have to pay TK. 50 to Accounts section. Write your father’s and mother’s name backside of the money receipt.Then submit an application to Head of the Department. Attach the money receipt along with the application.",,
How many department and faculties in DIU?,"Faculties and Departments
  
 FACULTY OF BUSINESS AND ENTREPRENEURSHIP
 DEPARTMENT OF BUSINESS ADMINISTRATION
 DEPARTMENT OF BUSINESS STUDIES
 DEPARTMENT OF REAL ESTATE
 DEPARTMENT OF TOURISM & HOSPITALITY MANAGEMENT
 DEPARTMENT OF INNOVATION & ENTREPRENEURSHIP
 FACULTY OF SCIENCE AND INFORMATION TECHNOLOGY
 DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING
 DEPARTMENT OF COMPUTING & INFORMATION SYSTEM (CIS)
 DEPARTMENT OF SOFTWARE ENGINEERING
 DEPARTMENT OF ENVIRONMENTAL SCIENCE AND DISASTER MANAGEMENT
 DEPARTMENT OF MULTIMEDIA & CREATIVE TECHNOLOGY (MCT)
 DEPARTMENT OF GENERAL EDUCATIONAL DEVELOPMENT (GED)
 FACULTY OF ENGINEERING
 DEPARTMENT OF ELECTRONICS & TELECOMMUNICATION ENGINEERING
 DEPARTMENT OF TEXTILE ENGINEERING
 DEPARTMENT OF ELECTRICAL & ELECTRONIC ENGINEERING
 DEPARTMENT OF ARCHITECTURE
 DEPARTMENT OF CIVIL ENGINEERING
 FACULTY OF ALLIED HEALTH SCIENCE
 DEPARTMENT OF PHARMACY
 DEPARTMENT OF PUBLIC HEALTH
 DEPARTMENT OF NUTRITION & FOOD ENGINEERING
 FACULTY OF HUMANITIES AND SOCIAL SCIENCE
 DEPARTMENT OF ENGLISH
 DEPARTMENT OF LAW
 DEPARTMENT OF JOURNALISM & MASS COMMUNICATION
 DEPARTMENT OF DEVELOPMENT STUDIES
 DEPARTMENT OF INFORMATION SCIENCE AND LIBRARY MANAGEMENT",,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay Tk20/- to Account section and fill-up the register book from the department office for specific problem.Department office will send an e-mail to IT section to solve the problem and then inform you the solution.,,
I cannot login in the student portal. How can I get access to the student portal?,The detailed information regarding the reset option of student portal password is given in the notice board of the department. Please follow the instructions.,,
How can I get my class routine of the semester?,"You can find your class routine in the departmental notice board, online notice board and in your email.",,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). Submit the photocopy of the GD to the Admission Section. The Admission Section will give you the further instructions.",,
Where can I get my scholarship/waiver information?,You can get your scholarship/waiver information from the Registrar Office.,,
When is the payment date?,The date of payment will be notified through online notice board and through the mail.,,
How much do we need to pay in second (before mid-term) and third (before final) installment?,"You have already paid the registration fees in the beginning of the semester. Now, multiply the no of credits you have registered in current semester with per credit tuition fees for your program. The result is the total amount you have to pay in two equal parts in the time of mid-term and final exams respectively. You can also askthe respective officers of the Account Section and/or you can check the Ledger inthe Students’ Portal.",,
How may I reserve class room for extra class?,Come to the department office and contact with coordination officer for booking class room.,,
How many professor in CSE deparment?,http://faculty.daffodilvarsity.edu.bd/teachers/cse  please follow the link,,
How many professor in CSE?,http://faculty.daffodilvarsity.edu.bd/teachers/cse  please follow the link,,
How many teacher in CSE  ?,http://faculty.daffodilvarsity.edu.bd/teachers/cse  please follow the link,,
How many teacher in CSE department?,http://faculty.daffodilvarsity.edu.bd/teachers/cse  please follow the link,,
Total teacher in CSE?,http://faculty.daffodilvarsity.edu.bd/teachers/cse  please follow the link,,
How many student in CSE department?,"Around 10,000 students in CSE.",,
Total student in CSE ?,"Around 10,000 students in CSE.",,
Total tution fees details for CSE program?,https://daffodilvarsity.edu.bd/article/tuition-fee please follow the link,,
Total tution cost details for CSE program?,https://daffodilvarsity.edu.bd/article/tuition-fee please follow the link,,
Total   fees details for CSE program?,https://daffodilvarsity.edu.bd/article/tuition-fee please follow the link,,
Total   cost details for CSE program?,https://daffodilvarsity.edu.bd/article/tuition-fee please follow the link,,
Board of Trustees (BoT),https://daffodilvarsity.edu.bd/committee/board-of-trustees,,
Next convocation?,"9th Convocation of DIU proposed to be held on 22th January, 2020.",,
When daffodil International university established ?,"2002 With the approval of UGC and Ministry of Education, Bangladesh",,
Campus buildings and locations�,"102 Shukrabad, Mirpur Road, Dhanmondi, Dhaka-1207 
(Main Campus And Administrative Building)
Datta Para ,Chou Baria , Ashulia Model Town , Dhaka",,
Lecture Theater and Class rooms ?,"250 class rooms, including modern theater",,
Total class room ?,"250 class rooms, including modern theater",,
Ranking  of DIU?,"
Times Higher Education (THE) University Impact Rankings-2019
ASOCIO 2018 ICT Education Award
""QS World University Rankings"" 2019 (Asia).
World Congress of IT (WCIT) 2017 Merit Award
Global Inclusion Award 2017
Top Graded University, Ranking of Private Universities, Published by Swedish National Agency for Higher Education;
A Grade University done by Bangladesh Govt. High powered Committee in 2006
2nd Position in Private & 5th position among all the public and private universities by ""Webometrics Ranking of World Universities""
3rd position in Research and Publications among all the private universities of Bangladesh
Best Private University in Web Popularity by http://www.alexa.com/ & http://www.4icu.org/bd/
Beautification Award 2006 presented by the Honorable Prime Minister
President�s Crest
Merit Award in WITSA 2014 Global ICT Excellence Awards by  the largest international ICT organization, World Information Technology and Services Alliance (WITSA)
AHR Award, UK
NAHE, Sweden
World Quality Commitment (WQC) Award-2010
Asia�s Best Business School Award
Amity Global Academic Excellence Award
Golden Star Academic & Educational Excellence Award
Asia's most inspiring Nation Builder Award",,
Award of DIU?,"
Times Higher Education (THE) University Impact Rankings-2019
ASOCIO 2018 ICT Education Award
""QS World University Rankings"" 2019 (Asia).
World Congress of IT (WCIT) 2017 Merit Award
Global Inclusion Award 2017
Top Graded University, Ranking of Private Universities, Published by Swedish National Agency for Higher Education;
A Grade University done by Bangladesh Govt. High powered Committee in 2006
2nd Position in Private & 5th position among all the public and private universities by ""Webometrics Ranking of World Universities""
3rd position in Research and Publications among all the private universities of Bangladesh
Best Private University in Web Popularity by http://www.alexa.com/ & http://www.4icu.org/bd/
Beautification Award 2006 presented by the Honorable Prime Minister
President�s Crest
Merit Award in WITSA 2014 Global ICT Excellence Awards by  the largest international ICT organization, World Information Technology and Services Alliance (WITSA)
AHR Award, UK
NAHE, Sweden
World Quality Commitment (WQC) Award-2010
Asia�s Best Business School Award
Amity Global Academic Excellence Award
Golden Star Academic & Educational Excellence Award
Asia's most inspiring Nation Builder Award",,
Ranking  of varsity,"
Times Higher Education (THE) University Impact Rankings-2019
ASOCIO 2018 ICT Education Award
""QS World University Rankings"" 2019 (Asia).
World Congress of IT (WCIT) 2017 Merit Award
Global Inclusion Award 2017
Top Graded University, Ranking of Private Universities, Published by Swedish National Agency for Higher Education;
A Grade University done by Bangladesh Govt. High powered Committee in 2006
2nd Position in Private & 5th position among all the public and private universities by ""Webometrics Ranking of World Universities""
3rd position in Research and Publications among all the private universities of Bangladesh
Best Private University in Web Popularity by http://www.alexa.com/ & http://www.4icu.org/bd/
Beautification Award 2006 presented by the Honorable Prime Minister
President�s Crest
Merit Award in WITSA 2014 Global ICT Excellence Awards by  the largest international ICT organization, World Information Technology and Services Alliance (WITSA)
AHR Award, UK
NAHE, Sweden
World Quality Commitment (WQC) Award-2010
Asia�s Best Business School Award
Amity Global Academic Excellence Award
Golden Star Academic & Educational Excellence Award
Asia's most inspiring Nation Builder Award",,
Award of varsity,"
Times Higher Education (THE) University Impact Rankings-2019
ASOCIO 2018 ICT Education Award
""QS World University Rankings"" 2019 (Asia).
World Congress of IT (WCIT) 2017 Merit Award
Global Inclusion Award 2017
Top Graded University, Ranking of Private Universities, Published  ",,
,"
Times Higher Education (THE) University Impact Rankings-2019
ASOCIO 2018 ICT Education Award
""QS World University Rankings"" 2019 (Asia).
World Congress of IT (WCIT) 2017 Merit Award
Global Inclusion Award 2017
Top Graded University, Ranking of Private Universities, Published by Swedish National Agency for Higher Education;
A Grade University done by Bangladesh Govt. High powered Committee in 2006
2nd Position in Private & 5th position among all the public and private universities by ""Webometrics Ranking of World Universities""
3rd position in Research and Publications among all the private universities of Bangladesh
Best Private University in Web Popularity by http://www.alexa.com/ & http://www.4icu.org/bd/
Beautification Award 2006 presented by the Honorable Prime Minister
President�s Crest
Merit Award in WITSA 2014 Global ICT Excellence Awards by  the largest international ICT organization, World Information Technology and Services Alliance (WITSA)
AHR Award, UK
NAHE, Sweden
World Quality Commitment (WQC) Award-2010
Asia�s Best Business School Award
Amity Global Academic Excellence Award
Golden Star Academic & Educational Excellence Award
Asia's most inspiring Nation Builder Award",,
Full equipped laboratories?,45 no. of well equipped laboratories,,
Library�," 6 storied separate central library building
Uttara campus library
Permanent Campus Library",,
admission start month   ,"Spring(November-December), Summer(March-April) and Fall(July-August)",,
semester start month  ,"Spring(November-December), Summer(March-April) and Fall(July-August)",,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,   
,    ,,
